単語	説明文
相互情報量	2つの変数が共有している情報量を示す尺度。ある変数を知ることで、別の変数の不確実性がどれだけ減少したかを表す（ $I(X, Y) = H(X) + H(Y) - H(X, Y)$ ）,,。
ベルヌーイ分布	結果が「成功(1)」か「失敗(0)」の2通りしかない、単一の試行における離散確率分布。成功確率 $p$ に対して、$p^x (1-p)^{1-x}$ と表される,,。
二項分布	成功確率 $p$ のベルヌーイ試行を独立に $n$ 回繰り返した際の成功回数が従う分布。期待値は $np$、分散は $np(1-p)$ となる,,。
ガウス分布 (正規分布)	平均を中心とした左右対称な鐘型の連続確率分布。中心極限定理により、多数の独立な事象が重なった際に現れる。深層学習の重み初期化等の仮定にも多用される,,。
カテゴリカル分布	ベルヌーイ分布を多値（3択以上）に拡張した分布。1回の試行で $K$ 個の結果のいずれかが起こる確率を扱う。Softmax関数の出力がこれに対応する,,。
多項分布	カテゴリカル分布の試行を $n$ 回繰り返したときの、各状態の出現回数が従う分布。二項分布の多クラス版に相当する,。
主成分分析 (PCA)	データの分散が最大になる軸（主成分）を探し出し、情報を保持したまま低次元化する次元削減手法。共分散行列の固有値分解により導出される,,。
寄与率	各主成分がデータ全体のばらつき（分散）をどれくらい説明できているかを示す割合。累積寄与率が80～90%程度になるまで次元削減を行うのが一般的,,。
k-means++	k-means法の初期値問題を改善したアルゴリズム。最初の中心はランダムだが、次は既存の中心から遠い点ほど選ばれやすく（距離の二乗に比例）することで、初期値を分散させる,,。
ルーレット選択	重みに比例した確率で要素を1つ選ぶサンプリング手法。k-means++における次のクラスタ中心の決定や、遺伝的アルゴリズムの個体選択などで利用される,,。
SVM (サポートベクターマシン)	マージンを最大化することでデータの分類境界を決定する線形識別モデル。高い汎化性能を持ち、カーネルトリックを用いた非線形分離も可能,,。
マージン最大化	決定境界から最も近いデータ点（サポートベクトル）までの距離 $M$ を最大にすること。数理的には重み $w$ のノルムの最小化（ $\min \frac{1}{2}\|w\|^2$ ）と等価である,,。
サポートベクトル	SVMにおいて、決定境界を決定する際に「支え」となる境界に最も近いデータ点。これら以外のデータを取り除いても境界線は変化しない,,。
カーネルトリック	データを高次元空間へ写像し、その空間での内積を元の空間の関数計算のみで代行する手法。明示的に高次元ベクトルを計算せずに、非線形分離を実現する,,。
RBFカーネル (ガウスカーネル)	SVMで最も汎用的な非線形カーネル。無限次元の特徴空間への写像に相当し、複雑な非線形境界を表現できる。式は $K(x, x') = \exp(-\gamma \|x - x'\|^2)$,,。
L1正則化 (Lasso)	損失関数に重みの絶対値の和（L1ノルム）を加えるペナルティ。いくつかの重みを完全に0にする「スパース性」を生み出し、特徴量選択の効果を持つ,,。
L2正則化 (Ridge / 荷重減衰)	損失関数に重みの二乗和（L2ノルムの二乗）を加えるペナルティ。重みの肥大化を抑え、滑らかなモデルにする「荷重減衰（Weight Decay）」として機能する,,。
勾配消失問題	ネットワークを深くした際、逆伝播の過程で勾配が0に近づき、学習が進まなくなる現象。シグモイド関数の微分値（最大0.25）の累積や不適切な初期化が原因となる,,。
RAG (Retrieval-Augmented Generation)	LLMに外部知識のベクトル検索を組み合わせるフレームワーク。モデルのパラメータ外の最新・専門知識を活用でき、ハルシネーションの抑制に有効,,。
埋め込みモデル (Embedding Model)	テキストを固定次元の実数ベクトル（意味の座標）に変換する軽量なモデル。RAGにおける文書検索等において、「意味の近さ」を計算するために使われる,,。
フーリエ変換	時間領域の信号を、周波数領域の成分（スペクトル）に変換する手法。音声認識では時間的変化を捉えるために「短時間フーリエ変換(STFT)」が用いられる,。
スペクトログラム	音声等の信号に対して、横軸に時間、縦軸に周波数、色の濃淡で強さを表した解析図。深層学習の画像認識アルゴリズムを入力特徴量として利用できる,。
メル尺度 (Mel Scale)	人間の耳の知覚に合わせた非線形な周波数尺度。低周波域では高分解能、高周波域では低分解能となるよう変換されており、音声認識の性能向上に寄与する,。
CTC (Connectionist Temporal Classification)	入出力の長さが異なり、位置対応も不明な系列データを学習する手法。「ブランク文字」と「重複マージ」を用いてアライメントを自動化する,,。
CAM (Class Activation Map)	CNNが画像のどこを重視して分類したかを可視化する手法。最終畳み込み層の特徴マップと出力層の重みを線形結合してヒートマップを生成する,,。
Grad-CAM	勾配（微分値）を利用して特徴マップを重み付けすることで、任意のアーキテクチャで注目領域を可視化できるようにした手法。特定のクラススコアに対する感度を逆算する,,。
LIME	複雑なモデルの予測結果を、特定のデータ点付近で単純な線形モデル（回帰）で近似して説明する手法。モデルをブラックボックスとして扱い、周辺の反応から寄与度を測る,,。
SHAP	ゲーム理論のシャープレイ値に基づき、各特徴量が予測値に与えた寄与を厳密に算出する説明手法。モデルの種類を問わず適用できる「Model-agnostic」な手法,。
転移学習 (Transfer Learning)	学習済みのモデル（特徴抽出器）を、別の新しいタスクに再利用する手法。少量のデータでも高い性能が得られ、計算リソースの節約にもなる,。
ファインチューニング	事前学習済みモデルのパラメータを、新しいタスクのデータで微調整（再学習）すること。通常、最終層を差し替え、モデル全体または一部の重みを更新する,,。
残差学習 (Residual Learning)	モデルに入力からの「差分（残差）」だけを学習させる手法。恒等写像の学習を容易にすることで、層を深くしても精度が低下しない（劣化問題の回避）メリットがある,,。
Integrated Gradients (積分勾配)	ベースラインから入力値までの経路上の勾配を積分することで、各特徴量の出力への寄与を一意に算出する説明手法。勾配消失問題の影響を受けにくい,,。
Next Token Prediction	直前までの単語の並びから「次の単語」を予測し続けるタスク。LLM（大規模言語モデル）の事前学習における主要な目的であり、自己教師あり学習の基本原理である,,。
GAN (敵対的生成ネットワーク)	生成器(G)と識別器(D)を戦わせて精度を高める生成モデル。ミニマックスゲームとして定式化され、$\min_G \max_D V(D, G)$ の最適化を目指す,,。
DCGAN	CNNの構造をGANに導入するための設計ガイドライン。プーリング層の排除、Batch Normalizationの導入、活性化関数(ReLU/Leaky ReLU)の指定等により学習を安定化させた,,。
モード崩壊 (Mode Collapse)	GANの学習において、生成器が極めて限定的な数種類のパターンしか生成できなくなる現象。データの多様性が失われるため、正規化等の手法で抑制を試みる,,。
強化学習 (Reinforcement Learning)	環境と相互作用しながら、累積報酬が最大になる行動方針（方策）を学ぶ枠組み。エージェント、状態、行動、報酬の要素から構成される,。
Q学習 (Q-Learning)	行動価値関数 $Q(s, a)$ を学習する強化学習アルゴリズム。次状態での最大価値を用いる「オフポリシー」な手法であり、DQNの基礎となった,。
SARSA	実際に選択した次の行動に基づいて価値を更新する「オンポリシー」な強化学習手法。Q学習と比較して、探索中のリスクを考慮した安全な学習を行う傾向がある,。
モンテカルロ法 (強化学習)	エピソードの終了まで待ってから、得られた実際の総報酬の平均によって価値を推定する手法。モデル（遷移確率）が未知の場合でも適用可能,。
動的計画法 (強化学習)	環境の遷移確率と報酬が既知の場合に、ベルマン方程式を反復的に解く手法。価値反復法や方策反復法が含まれる,。
TD学習	モンテカルロ法と動的計画法の中間的な性質を持ち、エピソードの終了を待たずに途中の推定値を使って逐次更新する手法。効率的なオンライン学習が可能,,。
